canonical_name,primary_role,nationality,total_matches_played,latest_sold_price,predicted_valuation,valuation_diff,value_margin_ratio
Ansh Patel,All-Rounder,Indian,4,2000000.0,4857629.43,2857629.43,2.43
JG Bethell,Unknown,Overseas,37,26000000.0,28843623.38,2843623.38,1.11
Akash Madhwal,Unknown,Indian,35,12000000.0,14793446.55,2793446.55,1.23
Vikash Singh,Bowler,Indian,20,6000000.0,8760971.65,2760971.65,1.46
SS Mundhe,All-Rounder,,27,2000000.0,4759589.67,2759589.67,2.38
R Rampaul,Bowler,,67,9000000.0,11719384.72,2719384.72,1.3
DH Yagnik,Wicket Keeper,,30,3000000.0,5632306.63,2632306.63,1.88
Anunay Singh,All-Rounder,Indian,2,2000000.0,4548502.84,2548502.84,2.27
AC Blizzard,Batsman,,35,3000000.0,5472445.63,2472445.63,1.82
MS Bhandage,All-Rounder,Indian,12,3000000.0,5441069.56,2441069.56,1.81
N Sindhu,All-Rounder,Indian,12,3000000.0,5441069.56,2441069.56,1.81
Shivam Singh,All-Rounder,Indian,1,2000000.0,4393939.55,2393939.55,2.2
RA Sharma,All-Rounder,Indian,1,2000000.0,4393939.55,2393939.55,2.2
Jatin Saxena,All-Rounder,,1,2000000.0,4393939.55,2393939.55,2.2
Rakesh Kumar,Batsman,Indian,4,2000000.0,4333979.04,2333979.04,2.17
M Muralitharan,Bowler,,90,10000000.0,12274411.18,2274411.18,1.23
S Anirudha,Batsman,,27,2000000.0,4235939.28,2235939.28,2.12
Sanvir Singh,All-Rounder,Indian,23,2000000.0,4141336.5,2141336.5,2.07
KR Sen,Bowler,Indian,33,8000000.0,10117228.25,2117228.25,1.26
Manjot Kalra,Batsman,,2,2000000.0,4024852.45,2024852.45,2.01
VG Arora,Bowler,Indian,58,18000000.0,19981169.17,1981169.17,1.11
RA Bawa,All-Rounder,Indian,9,3000000.0,4977379.68,1977379.68,1.66
ER Dwivedi,Wicket Keeper,,16,7500000.0,9468279.11,1968279.11,1.26
Fazalhaq Farooqi,Bowler,Overseas,68,20000000.0,21962002.75,1962002.75,1.1
MC Juneja,Batsman,,18,1000000.0,2844869.64,1844869.64,2.84
H Viljoen,Bowler,,0,7500000.0,9322701.28,1822701.28,1.24
F Behardien,All-Rounder,,3,3000000.0,4703066.13,1703066.13,1.57
Matthew Walker,Wicket Keeper,Overseas,0,24000000.0,25695444.58,1695444.58,1.07
C Connolly,Unknown,Overseas,55,30000000.0,31625762.66,1625762.66,1.05
P Awana,Bowler,,39,6500000.0,8044678.72,1544678.72,1.24
Shubham Ranjane,All-Rounder,,66,2000000.0,3481567.11,1481567.11,1.74
RS Hangargekar,All-Rounder,Indian,4,3000000.0,4204563.22,1204563.22,1.4
SP Goswami,Wicket Keeper,,66,10000000.0,11196585.19,1196585.19,1.12
AG Paunikar,Wicket Keeper,,14,2000000.0,3159293.94,1159293.94,1.58
Karanveer Singh,All-Rounder,,10,1000000.0,2132013.68,1132013.68,2.13
CS Delport,All-Rounder,,22,3000000.0,3986773.21,986773.21,1.33
SE Marsh,Batsman,,148,22000000.0,22938097.78,938097.78,1.04
J Theron,Bowler,,36,3000000.0,3927993.33,927993.33,1.31
HR Shokeen,All-Rounder,Indian,15,2000000.0,2904830.15,904830.15,1.45
C Anderson,All-Rounder,,0,10000000.0,10892301.05,892301.05,1.09
V Kaverappa,Bowler,Indian,5,2000000.0,2789526.74,789526.74,1.39
B Indrajith,Wicket Keeper,Indian,10,2000000.0,2541040.76,541040.76,1.27
Mayank Dagar,All-Rounder,Indian,38,18000000.0,18459503.07,459503.07,1.03
Sharad Lumba,Batsman,,14,2000000.0,2226616.47,226616.47,1.11
Gurnoor Brar,Unknown,Indian,1,13000000.0,13191290.08,191290.08,1.01
T Mishra,Batsman,,7,1000000.0,1144673.42,144673.42,1.14
